Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
162,Jordan Goodwin,PG,25,PHO,35,0,15.5,1.9,5.2,.372,0.7,2.3,.291,1.3,3.0,.433,.434,0.7,0.8,.852,1.1,2.2,3.3,2.2,0.6,0.2,0.8,1.2,5.2,2024
163,Aaron Gordon,PF,28,DEN,38,38,32.1,5.5,10.1,.542,0.5,1.8,.286,4.9,8.3,.599,.568,2.2,3.6,.613,2.7,4.1,6.8,3.2,0.8,0.6,1.4,1.7,13.7,2024
164,Eric Gordon,SG,35,PHO,36,19,30.4,4.6,10.4,.443,2.5,6.6,.376,2.1,3.8,.558,.561,0.8,1.0,.778,0.3,1.8,2.1,2.3,0.9,0.5,1.3,1.3,12.5,2024
165,Devonte' Graham,PG,28,SAS,9,0,9.2,1.1,2.9,.385,0.7,2.0,.333,0.4,0.9,.500,.500,0.7,0.9,.750,0.2,1.0,1.2,2.1,0.3,0.1,0.3,0.4,3.6,2024
166,Jerami Grant,PF,29,POR,37,37,33.9,7.6,16.5,.459,2.2,5.4,.403,5.4,11.1,.487,.525,4.3,5.4,.803,0.7,2.9,3.6,2.4,0.8,0.7,2.1,2.3,21.7,2024
167,A.J. Green,SG,24,MIL,26,0,7.8,1.2,2.7,.429,1.0,2.3,.417,0.2,0.4,.500,.607,0.2,0.2,1.000,0.2,0.6,0.8,0.6,0.0,0.0,0.0,0.9,3.4,2024
168,Danny Green,SG,36,PHI,2,0,9.0,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.5,0.0,2024
169,Draymond Green,PF,33,GSW,16,15,25.1,3.3,6.8,.491,1.2,2.7,.442,2.1,4.1,.523,.579,1.7,2.0,.844,1.4,4.3,5.6,5.7,0.4,0.7,2.4,3.1,9.5,2024
170,Jalen Green,SG,21,HOU,42,42,30.3,5.8,14.5,.397,2.0,6.4,.320,3.7,8.1,.459,.468,3.5,4.4,.796,0.4,4.2,4.6,3.2,0.6,0.3,2.2,1.3,17.1,2024
171,Jeff Green,PF,37,HOU,40,1,16.4,2.2,4.1,.521,0.4,1.3,.320,1.8,2.9,.609,.570,1.9,2.3,.824,0.7,1.4,2.1,0.8,0.1,0.5,0.7,1.5,6.6,2024
172,Josh Green,SG,23,DAL,30,13,25.9,2.9,6.2,.462,1.2,3.1,.383,1.7,3.1,.543,.559,0.6,1.1,.563,0.6,2.5,3.1,2.5,0.8,0.2,1.0,1.9,7.5,2024
173,AJ Griffin,SF,20,ATL,16,0,8.1,0.8,2.6,.310,0.6,1.9,.290,0.3,0.7,.364,.417,0.1,0.1,1.000,0.1,0.7,0.8,0.3,0.1,0.1,0.4,0.4,2.3,2024
174,Quentin Grimes,SG,23,NYK,40,18,19.8,2.4,6.1,.387,1.7,4.7,.371,0.6,1.4,.439,.529,0.4,0.5,.714,0.3,1.4,1.8,1.1,0.7,0.1,0.5,1.5,6.8,2024
175,Mouhamed Gueye,PF,21,ATL,2,0,2.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,2024
176,Rui Hachimura,PF,25,LAL,30,6,22.9,4.2,9.0,.470,1.1,3.0,.352,3.2,6.0,.531,.530,1.6,2.1,.762,0.8,2.7,3.5,1.1,0.7,0.2,0.8,1.3,11.1,2024
177,Tyrese Haliburton,PG,23,IND,34,34,33.4,8.4,16.9,.496,3.4,8.4,.400,5.0,8.5,.590,.595,3.5,4.1,.862,0.6,3.5,4.1,12.6,1.1,0.6,2.5,1.1,23.6,2024
178,R.J. Hampton,PG,22,MIA,8,2,9.5,0.5,1.8,.286,0.1,1.0,.125,0.4,0.8,.500,.321,0.1,0.3,.500,0.3,0.5,0.8,1.0,0.0,0.0,0.4,1.0,1.3,2024
179,Tim Hardaway Jr.,SF,31,DAL,40,8,29.7,6.2,14.7,.422,3.3,8.9,.366,3.0,5.8,.509,.533,2.5,2.9,.877,0.4,3.3,3.6,1.7,0.4,0.0,1.0,1.5,18.2,2024
180,James Harden,PG,34,LAC,36,36,34.1,5.1,11.1,.455,2.7,6.5,.421,2.3,4.6,.503,.578,4.3,4.9,.881,0.3,4.3,4.6,8.5,1.3,0.9,2.7,2.1,17.1,2024
181,Jaden Hardy,SG,21,DAL,38,4,15.4,2.8,7.4,.379,1.3,3.8,.340,1.5,3.6,.419,.466,0.7,1.1,.683,0.3,1.8,2.1,1.6,0.3,0.1,0.7,1.2,7.6,2024
182,Ron Harper Jr.,PF,23,TOR,1,0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2024
183,Gary Harris,SG,29,ORL,27,6,22.8,2.4,5.7,.429,1.3,4.0,.333,1.1,1.7,.652,.545,0.9,1.1,.774,0.5,1.2,1.7,1.9,0.9,0.2,0.5,1.7,7.1,2024
184,Joe Harris,SG,32,DET,15,0,10.5,0.9,2.4,.361,0.7,1.9,.345,0.2,0.5,.429,.500,0.1,0.1,.500,0.2,0.7,0.9,0.7,0.2,0.1,0.3,1.2,2.5,2024
185,Kevon Harris,SG,26,ORL,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2024
186,Tobias Harris,PF,31,PHI,41,41,34.1,6.7,13.1,.509,1.2,3.5,.359,5.4,9.6,.563,.557,3.1,3.5,.902,1.0,5.0,6.0,3.2,1.0,0.5,1.5,1.7,17.7,2024
187,Shaquille Harrison,SG,30,MEM,3,0,2.0,0.3,0.7,.500,0.0,0.0,,0.3,0.7,.500,.500,0.0,0.0,,0.0,0.7,0.7,0.0,0.0,0.3,0.0,0.0,0.7,2024
188,Josh Hart,SF,28,NYK,42,6,28.1,2.9,6.5,.443,0.9,2.8,.328,2.0,3.7,.529,.513,0.7,0.9,.806,1.3,5.2,6.5,2.7,0.7,0.2,1.2,1.9,7.4,2024
189,Isaiah Hartenstein,C,25,NYK,43,17,25.6,2.6,4.3,.605,0.0,0.1,.333,2.6,4.2,.610,.608,1.4,2.0,.694,3.3,5.2,8.5,2.0,1.2,1.1,1.2,2.9,6.6,2024
